post_id	meta_value
555	2981
575	2990
1148	3002
1161	3003
1176	2999
1177	3215
1178	3218
1179	2986
2760	3205
5694	5697
574	4094
568	4094
587	4094
1105	4094
1874	4094
1908	4094
1909	4094
4313	4317
4318	6953
4321	6889
4323	6891
4325	6892
4327	4328
4329	4330
8437	8398
4335	4337
4338	12298
4341	4342
4343	4344
4345	4346
4347	4348
4351	4352
4353	4354
4355	4356
4359	4357
4645	4611
4361	4358
4604	4607
4610	4611
4617	4623
4612	4626
4629	4630
4641	10257
9750	9751
4646	4611
4653	4652
4654	4657
4658	4659
4660	4664
4665	4662
4666	4667
4668	4669
4673	4675
4677	4678
4679	4680
4682	4684
4685	4684
4686	4687
4689	4690
4692	4695
4698	4713
4716	4717
4720	4721
4722	11668
4724	4725
4727	4728
4732	4728
4733	4734
4736	4737
4739	4740
4741	4742
4743	4744
4745	4746
4751	4752
4753	4755
4759	4760
4762	4760
4764	4760
4770	4760
4776	4775
4771	4773
4774	4773
4781	4775
4782	4775
4783	4775
4784	4775
4785	4773
4787	4773
4790	4773
4791	4773
4792	4773
4793	4773
4797	4798
4800	4802
4803	4804
4807	4808
4810	4811
4813	4814
4816	15169
4818	4819
4821	4822
4826	4827
4829	4827
4830	4831
4833	15114
4839	4891
4842	4844
4849	4796
4851	15040
4853	15038
4854	4796
4855	15035
4856	4857
4858	4857
4860	4857
4862	4863
4864	4865
4866	4867
4868	4867
4869	4870
4871	4872
4873	4874
4875	11412
4877	4881
4883	14253
4878	4885
4888	5215
4894	4881
4895	4896
4897	4896
4898	4900
4901	4903
4904	4905
4906	4907
4908	4909
4910	4909
4911	4912
4916	15708
4918	15708
4920	15708
4921	4917
4922	4917
4923	4927
4931	4932
4933	4932
4938	4939
4940	4941
4942	4941
4943	4941
4944	4945
4929	4924
4946	4949
4950	4953
4954	4955
9647	9648
4958	4959
4961	4963
4962	14653
15265	15267
4967	4968
4970	4971
4974	13960
4975	4976
4978	16355
4980	4982
4983	4986
4984	4985
4969	13957
4987	4988
4990	4991
4948	4992
4995	11532
5002	5007
5010	5011
5012	14167
5015	5016
5017	5018
15315	15321
5022	5024
5013	5023
5027	5028
5029	10263
5032	5033
5034	5035
5036	5037
5038	5039
5040	5041
5043	5041
5044	5045
5046	5047
5048	5049
5050	5051
5052	5051
5053	5054
5055	5056
5058	5059
5060	5061
5063	5064
5065	5066
5070	5069
5067	5069
5073	5074
5075	12031
5077	5080
5081	5083
5085	5086
5088	5089
5090	5091
5092	5093
5096	5098
5099	12042
5097	5101
5087	5095
5019	5021
5103	5105
5008	5107
5110	15305
5111	5121
5114	5116
5117	5119
5120	5119
5122	5119
5124	5115
5128	5131
5130	5131
5109	5108
5134	5135
5137	5138
5136	5139
5141	5144
5140	5142
5143	5146
5145	5147
5106	5148
5149	5150
5151	5152
5153	5154
5155	5156
5158	5159
5160	5161
5162	5163
5164	13486
5166	5167
5168	5169
5170	5171
5172	5173
5174	5173
5175	5173
5177	5178
5180	5181
5184	5185
5186	11738
5188	5189
12416	10791
5194	5195
5196	5197
5199	5200
5201	5202
5190	5191
5206	5191
5208	5191
5209	5195
4952	5211
4935	5212
4714	5219
5221	5223
5224	5225
5227	5228
5229	5231
5232	5235
5236	5237
5238	5239
5241	5243
5244	5245
5246	5247
5234	5240
5249	5251
5252	5254
5255	5258
5250	5253
8506	8508
5259	5260
5263	5264
5265	5266
5267	5268
5269	5270
5271	5272
5273	5274
5275	5276
5277	5278
5279	5280
5281	12200
5284	12198
5285	5286
5287	5289
5290	5291
5294	5296
5297	5298
5301	5302
5305	5306
5307	5309
5310	11815
5292	5295
5313	5339
8505	8504
5324	5315
5328	11920
5330	5331
5304	5333
5340	5341
5344	5345
5348	13125
8503	8504
5353	5368
5369	5370
5371	5373
5374	5375
5376	5378
5379	5380
5381	5382
5383	5384
5385	5386
5387	5388
5389	5390
5391	5392
5393	5394
5395	5396
8513	8504
8501	8502
5561	5562
5397	5413
5414	5415
5416	5417
5418	5419
5420	5421
5422	5423
5424	5425
5427	5429
8511	8508
8517	8519
8509	8510
8520	8521
5551	5458
5559	5560
5557	5558
5555	5556
8523	8526
5502	5458
5503	5458
5504	5458
5501	5458
5453	5582
5527	5575
5517	5575
5528	5511
5629	5631
5563	10809
5565	5566
5568	5569
5570	5571
5572	5573
5457	5575
5574	5576
5580	5581
5583	5584
5585	5586
5587	5588
5589	5590
5591	5592
5510	5582
5509	5582
5508	5582
5593	5594
5595	5596
5598	5599
5600	5601
8587	8588
5605	5606
8514	8516
5607	5608
5609	5610
5611	5614
5615	5616
5628	0
5619	5613
5618	5626
5633	5634
5637	5638
5642	5643
5636	5650
5652	5654
5657	5659
5660	5659
5663	5659
5658	5662
5664	5659
5665	5666
5667	5669
9748	9749
5676	5388
5677	5678
5679	5680
5681	5682
5683	5684
5685	5686
5687	5688
5690	5692
5698	5697
5699	5697
5700	5701
5702	5704
5705	5706
5707	5708
5711	5710
5715	5718
5714	5720
5719	5721
5723	5724
5726	5728
5729	5730
5731	5732
5733	5734
5738	5740
5727	5737
5746	5748
5750	5635
5756	5757
5758	5759
5762	5763
5765	5768
5769	5770
5771	5773
5774	5777
5772	12654
5782	5785
5779	5783
8665	8598
5787	5794
5788	5789
5790	5793
5796	5844
5795	5805
5806	5808
5810	5811
5814	5815
5819	5820
5816	5818
5823	5825
5826	5835
5829	5830
5831	5830
5834	5836
5846	5847
5837	5840
5817	0
5842	5843
5849	5850
5851	5852
5853	5854
5855	5856
5859	5858
5860	5861
5862	5863
5781	5865
5864	5866
5867	5868
5869	5870
5871	5872
5874	15799
5876	5877
5878	5879
5880	5879
5881	5882
5883	5884
5885	5886
5888	5889
5891	5892
5894	5895
5896	5895
5901	0
5897	5898
5903	5906
5904	0
5907	5908
5909	5908
5910	5911
5914	5916
5917	5916
5918	0
5919	5916
5920	0
5921	5916
5922	0
5923	5916
5924	0
5929	5930
5932	5930
5933	5935
5936	5935
5937	5935
5938	5935
5940	5942
5944	5946
5947	5948
5949	5950
5951	5952
5953	5954
5913	5954
5956	5957
5962	5963
5964	5965
5966	5967
5961	5968
5970	5971
5972	5971
5973	5971
5969	5974
5976	5983
5977	5982
5978	5982
5984	5985
5986	5989
5992	5995
5993	5994
5996	5997
5990	5995
5999	6000
6001	6000
6002	6000
6003	6000
6004	6000
5998	6000
5987	0
5988	0
6009	6010
6011	6010
6012	6010
6008	6010
6014	6015
6016	6017
6013	6018
6019	6020
6022	6024
6025	6026
6027	6067
6028	6029
6030	6034
6035	6036
6037	6041
6042	6041
6045	6046
6047	6049
6050	6052
6053	6054
6055	6056
6057	6058
6059	6060
6068	6070
6075	6076
6077	6073
6078	6073
6080	6073
6081	6073
6082	6073
6074	6079
6083	6073
6051	6069
6084	6085
6086	6087
6089	12473
6091	12071
6093	6094
6095	6096
6097	6098
6100	6101
6103	6104
6105	6107
6109	6110
6108	6112
6113	6114
6115	6116
6117	6123
6118	6123
6119	6123
6120	6123
6121	6123
6122	6123
6111	6125
6127	6130
6133	6134
6139	6142
6143	6144
6145	6146
6149	6150
6151	6152
6153	6154
6157	6158
6165	7845
6166	6161
6167	6161
6168	6161
6169	6161
6170	6161
6171	6161
6172	6161
6159	6160
6187	16336
6186	16335
6185	16334
6184	16334
6183	16334
6182	16333
6181	16332
6180	16331
6179	16330
6189	16337
6188	16337
6178	16329
6177	16328
6174	6192
6193	6194
6195	6196
6197	6198
6200	6203
6202	6205
6208	6116
6209	6210
6211	5021
6201	6213
6214	6217
6221	6222
6223	6225
6219	6224
6226	6228
6229	6217
6230	14316
6232	6233
6235	6236
6238	5866
6239	6222
6241	6217
6237	6242
6227	6243
6244	6246
6247	6248
6249	6251
6252	15232
6256	6260
6259	13725
6261	6265
6264	6267
6270	6271
6268	6272
6274	6276
6277	6278
6279	6280
6281	6282
6283	6284
6285	6286
6287	6288
6290	6291
6293	6294
6275	16168
6299	6298
6296	6303
6295	6302
6305	6310
6304	6307
6308	6307
6309	6314
6316	6317
6313	6318
6319	6320
6322	6323
6324	6325
6326	6327
6328	6329
6330	6331
6332	6333
6338	12720
6339	12719
6340	12718
6341	12717
6334	12721
6342	6343
6345	6346
6347	6351
6353	6354
6355	6356
6357	6358
6360	6361
6359	6362
6366	6367
6368	6369
6365	6371
9436	9437
6374	6376
5552	15339
6382	6383
6384	6385
6379	6387
6386	6389
6390	13765
6392	6396
6388	6393
6397	6400
6401	6402
6404	6405
6403	6406
6407	6408
6409	6410
6411	6414
6399	6412
6415	6416
6417	6418
6419	6420
6380	6422
6421	6424
6425	6427
6428	6426
6429	6430
6431	6430
6432	6433
